Base ID Group 1,Base ID Group 2,Correlation
A1_Feed,D_Feed,0.887
A1_Feed,D_Gastric,0.413
A1_Feed,D_Intestinal,0.046
A1_Feed,E_Feed,0.799
A1_Feed,E_Gastric,0.236
A1_Feed,E_Intestinal,0.178
A1_Feed,F_Feed,0.891
A1_Feed,F_Gastric,0.405
A1_Feed,F_Intestinal,0.034
A1_Feed,G_Feed,0.898
A1_Feed,G_Gastric,0.307
A1_Feed,G_Intestinal,0.101
A1_Feed,H_Feed,0.857
A1_Feed,H_Gastric,0.317
A1_Feed,H_Intestinal,0.022
A1_Feed,I_Feed,0.872
A1_Feed,I_Gastric,0.293
A1_Feed,I_Intestinal,0.032
A1_Feed,J_Feed,0.84
A1_Feed,J_Gastric,0.295
A1_Feed,J_Intestinal,0.094
A1_Gastric,A1_Intestinal,0.03
A1_Gastric,B_Feed,0.018
A1_Gastric,B_Gastric,0.201
A1_Gastric,B_Intestinal,0.027
A1_Gastric,C_Feed,0.02
A1_Gastric,C_Gastric,0.306
A1_Gastric,C_Intestinal,0.06
A1_Gastric,D_Feed,0.355
A1_Gastric,D_Gastric,0.899
A1_Gastric,D_Intestinal,-0.001
A1_Gastric,E_Feed,0.366
A1_Gastric,E_Gastric,0.66
A1_Gastric,E_Intestinal,0.569
A1_Gastric,F_Feed,0.353
A1_Gastric,F_Gastric,0.896
A1_Gastric,F_Intestinal,0.012
A1_Gastric,G_Feed,0.381
A1_Gastric,G_Gastric,0.915
A1_Gastric,G_Intestinal,0.023
A1_Gastric,H_Feed,0.335
A1_Gastric,H_Gastric,0.893
A1_Gastric,H_Intestinal,-0.009
A1_Gastric,I_Feed,0.374
A1_Gastric,I_Gastric,0.933
A1_Gastric,I_Intestinal,-0.011
A1_Gastric,J_Feed,0.36
A1_Gastric,J_Gastric,0.927
A1_Gastric,J_Intestinal,0.016
A1_Intestinal,B_Feed,0.316
A1_Intestinal,B_Gastric,0.301
A1_Intestinal,B_Intestinal,0.569
A1_Intestinal,C_Feed,0.246
A1_Intestinal,C_Gastric,0.167
A1_Intestinal,C_Intestinal,0.265
A1_Intestinal,D_Feed,0.087
A1_Intestinal,D_Gastric,0.082
A1_Intestinal,D_Intestinal,0.936
A1_Intestinal,E_Feed,0.165
A1_Intestinal,E_Gastric,0.776
A1_Intestinal,E_Intestinal,0.822
A1_Intestinal,F_Feed,0.009
A1_Intestinal,F_Gastric,0.052
A1_Intestinal,F_Intestinal,0.878
A1_Intestinal,G_Feed,0.045
A1_Intestinal,G_Gastric,0.018
A1_Intestinal,G_Intestinal,0.943
A1_Intestinal,H_Feed,0.169
A1_Intestinal,H_Gastric,0.013
A1_Intestinal,H_Intestinal,0.919
A1_Intestinal,I_Feed,0.092
A1_Intestinal,I_Gastric,0.03
A1_Intestinal,I_Intestinal,0.941
A1_Intestinal,J_Feed,0.106
A1_Intestinal,J_Gastric,0.08
A1_Intestinal,J_Intestinal,0.922
B_Feed,B_Gastric,0.878
B_Feed,B_Intestinal,0.461
B_Feed,C_Feed,0.233
B_Feed,C_Gastric,0.234
B_Feed,C_Intestinal,0.178
B_Feed,D_Feed,0.034
B_Feed,D_Gastric,0.032
B_Feed,D_Intestinal,0.294
B_Feed,E_Feed,0.303
B_Feed,E_Gastric,0.168
B_Feed,E_Intestinal,0.209
B_Feed,F_Feed,-0.01
B_Feed,F_Gastric,0.012
B_Feed,F_Intestinal,0.306
B_Feed,G_Feed,0.008
B_Feed,G_Gastric,0.019
B_Feed,G_Intestinal,0.285
B_Feed,H_Feed,-0.001
B_Feed,H_Gastric,0.015
B_Feed,H_Intestinal,0.264
B_Feed,I_Feed,-0.007
B_Feed,I_Gastric,0.038
B_Feed,I_Intestinal,0.27
B_Feed,J_Feed,0.04
B_Feed,J_Gastric,0.03
B_Feed,J_Intestinal,0.262
B_Gastric,B_Intestinal,0.441
B_Gastric,C_Feed,0.2
B_Gastric,C_Gastric,0.308
B_Gastric,C_Intestinal,0.203
B_Gastric,D_Feed,0.031
B_Gastric,D_Gastric,0.163
B_Gastric,D_Intestinal,0.283
B_Gastric,E_Feed,0.272
B_Gastric,E_Gastric,0.259
B_Gastric,E_Intestinal,0.283
B_Gastric,F_Feed,0.016
B_Gastric,F_Gastric,0.154
B_Gastric,F_Intestinal,0.277
B_Gastric,G_Feed,0.017
B_Gastric,G_Gastric,0.175
B_Gastric,G_Intestinal,0.272
B_Gastric,H_Feed,0.015
B_Gastric,H_Gastric,0.159
B_Gastric,H_Intestinal,0.25
B_Gastric,I_Feed,0.007
B_Gastric,I_Gastric,0.221
B_Gastric,I_Intestinal,0.265
B_Gastric,J_Feed,0.051
B_Gastric,J_Gastric,0.207
B_Gastric,J_Intestinal,0.254
B_Intestinal,C_Feed,0.342
B_Intestinal,C_Gastric,0.228
B_Intestinal,C_Intestinal,0.452
B_Intestinal,D_Feed,0.16
B_Intestinal,D_Gastric,0.081
B_Intestinal,D_Intestinal,0.564
B_Intestinal,E_Feed,0.265
B_Intestinal,E_Gastric,0.452
B_Intestinal,E_Intestinal,0.498
B_Intestinal,F_Feed,0.069
B_Intestinal,F_Gastric,0.038
B_Intestinal,F_Intestinal,0.505
B_Intestinal,G_Feed,0.127
B_Intestinal,G_Gastric,0.051
B_Intestinal,G_Intestinal,0.541
B_Intestinal,H_Feed,0.209
B_Intestinal,H_Gastric,0.062
B_Intestinal,H_Intestinal,0.53
B_Intestinal,I_Feed,0.169
B_Intestinal,I_Gastric,0.038
B_Intestinal,I_Intestinal,0.566
B_Intestinal,J_Feed,0.133
B_Intestinal,J_Gastric,0.073
B_Intestinal,J_Intestinal,0.57
C_Feed,C_Gastric,0.833
C_Feed,C_Intestinal,0.856
C_Feed,D_Feed,0.061
C_Feed,D_Gastric,0.067
C_Feed,D_Intestinal,0.263
C_Feed,E_Feed,0.192
C_Feed,E_Gastric,0.21
C_Feed,E_Intestinal,0.207
C_Feed,F_Feed,-0.054
C_Feed,F_Gastric,0.04
C_Feed,F_Intestinal,0.182
C_Feed,G_Feed,0.078
C_Feed,G_Gastric,0.058
C_Feed,G_Intestinal,0.209
C_Feed,H_Feed,0.059
C_Feed,H_Gastric,0.052
C_Feed,H_Intestinal,0.166
C_Feed,I_Feed,0.05
C_Feed,I_Gastric,0.021
C_Feed,I_Intestinal,0.193
C_Feed,J_Feed,0.028
C_Feed,J_Gastric,0.025
C_Feed,J_Intestinal,0.208
C_Gastric,C_Intestinal,0.736
C_Gastric,D_Feed,-0.034
C_Gastric,D_Gastric,0.343
C_Gastric,D_Intestinal,0.147
C_Gastric,E_Feed,0.129
C_Gastric,E_Gastric,0.295
C_Gastric,E_Intestinal,0.27
C_Gastric,F_Feed,-0.086
C_Gastric,F_Gastric,0.347
C_Gastric,F_Intestinal,0.131
C_Gastric,G_Feed,0.018
C_Gastric,G_Gastric,0.34
C_Gastric,G_Intestinal,0.093
C_Gastric,H_Feed,-0.007
C_Gastric,H_Gastric,0.327
C_Gastric,H_Intestinal,0.069
C_Gastric,I_Feed,-0.04
C_Gastric,I_Gastric,0.322
C_Gastric,I_Intestinal,0.094
C_Gastric,J_Feed,0.023
C_Gastric,J_Gastric,0.331
C_Gastric,J_Intestinal,0.117
C_Intestinal,D_Feed,0.055
C_Intestinal,D_Gastric,0.118
C_Intestinal,D_Intestinal,0.258
C_Intestinal,E_Feed,0.14
C_Intestinal,E_Gastric,0.247
C_Intestinal,E_Intestinal,0.242
C_Intestinal,F_Feed,0.02
C_Intestinal,F_Gastric,0.094
C_Intestinal,F_Intestinal,0.193
C_Intestinal,G_Feed,0.122
C_Intestinal,G_Gastric,0.094
C_Intestinal,G_Intestinal,0.2
C_Intestinal,H_Feed,0.118
C_Intestinal,H_Gastric,0.089
C_Intestinal,H_Intestinal,0.194
C_Intestinal,I_Feed,0.095
C_Intestinal,I_Gastric,0.062
C_Intestinal,I_Intestinal,0.219
C_Intestinal,J_Feed,0.118
C_Intestinal,J_Gastric,0.118
C_Intestinal,J_Intestinal,0.227
D_Feed,D_Gastric,0.428
D_Feed,D_Intestinal,0.102
D_Feed,E_Feed,0.864
D_Feed,E_Gastric,0.266
D_Feed,E_Intestinal,0.213
D_Feed,F_Feed,0.943
D_Feed,F_Gastric,0.431
D_Feed,F_Intestinal,0.063
D_Feed,G_Feed,0.906
D_Feed,G_Gastric,0.332
D_Feed,G_Intestinal,0.129
D_Feed,H_Feed,0.87
D_Feed,H_Gastric,0.316
D_Feed,H_Intestinal,0.061
D_Feed,I_Feed,0.876
D_Feed,I_Gastric,0.308
D_Feed,I_Intestinal,0.06
D_Feed,J_Feed,0.855
D_Feed,J_Gastric,0.287
D_Feed,J_Intestinal,0.128
D_Gastric,D_Intestinal,0.076
D_Gastric,E_Feed,0.426
D_Gastric,E_Gastric,0.726
D_Gastric,E_Intestinal,0.638
D_Gastric,F_Feed,0.434
D_Gastric,F_Gastric,0.964
D_Gastric,F_Intestinal,0.067
D_Gastric,G_Feed,0.456
D_Gastric,G_Gastric,0.896
D_Gastric,G_Intestinal,0.061
D_Gastric,H_Feed,0.394
D_Gastric,H_Gastric,0.89
D_Gastric,H_Intestinal,0.054
D_Gastric,I_Feed,0.429
D_Gastric,I_Gastric,0.891
D_Gastric,I_Intestinal,0.048
D_Gastric,J_Feed,0.415
D_Gastric,J_Gastric,0.881
D_Gastric,J_Intestinal,0.066
D_Intestinal,E_Feed,0.182
D_Intestinal,E_Gastric,0.798
D_Intestinal,E_Intestinal,0.862
D_Intestinal,F_Feed,0.032
D_Intestinal,F_Gastric,0.044
D_Intestinal,F_Intestinal,0.94
D_Intestinal,G_Feed,0.059
D_Intestinal,G_Gastric,0.004
D_Intestinal,G_Intestinal,0.951
D_Intestinal,H_Feed,0.198
D_Intestinal,H_Gastric,0.012
D_Intestinal,H_Intestinal,0.923
D_Intestinal,I_Feed,0.069
D_Intestinal,I_Gastric,0.038
D_Intestinal,I_Intestinal,0.931
D_Intestinal,J_Feed,0.101
D_Intestinal,J_Gastric,0.057
D_Intestinal,J_Intestinal,0.917
E_Feed,E_Gastric,0.359
E_Feed,E_Intestinal,0.3
E_Feed,F_Feed,0.834
E_Feed,F_Gastric,0.423
E_Feed,F_Intestinal,0.134
E_Feed,G_Feed,0.794
E_Feed,G_Gastric,0.328
E_Feed,G_Intestinal,0.207
E_Feed,H_Feed,0.777
E_Feed,H_Gastric,0.328
E_Feed,H_Intestinal,0.115
E_Feed,I_Feed,0.779
E_Feed,I_Gastric,0.323
E_Feed,I_Intestinal,0.154
E_Feed,J_Feed,0.78
E_Feed,J_Gastric,0.295
E_Feed,J_Intestinal,0.176
E_Gastric,E_Intestinal,0.961
E_Gastric,F_Feed,0.227
E_Gastric,F_Gastric,0.718
E_Gastric,F_Intestinal,0.762
E_Gastric,G_Feed,0.254
E_Gastric,G_Gastric,0.688
E_Gastric,G_Intestinal,0.759
E_Gastric,H_Feed,0.274
E_Gastric,H_Gastric,0.655
E_Gastric,H_Intestinal,0.77
E_Gastric,I_Feed,0.259
E_Gastric,I_Gastric,0.702
E_Gastric,I_Intestinal,0.743
E_Gastric,J_Feed,0.262
E_Gastric,J_Gastric,0.681
E_Gastric,J_Intestinal,0.753
E_Intestinal,F_Feed,0.168
E_Intestinal,F_Gastric,0.619
E_Intestinal,F_Intestinal,0.817
E_Intestinal,G_Feed,0.19
E_Intestinal,G_Gastric,0.59
E_Intestinal,G_Intestinal,0.82
E_Intestinal,H_Feed,0.238
E_Intestinal,H_Gastric,0.567
E_Intestinal,H_Intestinal,0.821
E_Intestinal,I_Feed,0.207
E_Intestinal,I_Gastric,0.618
E_Intestinal,I_Intestinal,0.81
E_Intestinal,J_Feed,0.195
E_Intestinal,J_Gastric,0.596
E_Intestinal,J_Intestinal,0.8
F_Feed,F_Gastric,0.424
F_Feed,F_Intestinal,0.005
F_Feed,G_Feed,0.909
F_Feed,G_Gastric,0.329
F_Feed,G_Intestinal,0.05
F_Feed,H_Feed,0.883
F_Feed,H_Gastric,0.315
F_Feed,H_Intestinal,-0.041
F_Feed,I_Feed,0.857
F_Feed,I_Gastric,0.316
F_Feed,I_Intestinal,0.002
F_Feed,J_Feed,0.865
F_Feed,J_Gastric,0.291
F_Feed,J_Intestinal,0.06
F_Gastric,F_Intestinal,0.044
F_Gastric,G_Feed,0.454
F_Gastric,G_Gastric,0.916
F_Gastric,G_Intestinal,0.04
F_Gastric,H_Feed,0.412
F_Gastric,H_Gastric,0.914
F_Gastric,H_Intestinal,0.045
F_Gastric,I_Feed,0.443
F_Gastric,I_Gastric,0.895
F_Gastric,I_Intestinal,0.004
F_Gastric,J_Feed,0.434
F_Gastric,J_Gastric,0.886
F_Gastric,J_Intestinal,0.055
F_Intestinal,G_Feed,0.043
F_Intestinal,G_Gastric,0.008
F_Intestinal,G_Intestinal,0.912
F_Intestinal,H_Feed,0.15
F_Intestinal,H_Gastric,0.015
F_Intestinal,H_Intestinal,0.911
F_Intestinal,I_Feed,0.074
F_Intestinal,I_Gastric,0.042
F_Intestinal,I_Intestinal,0.904
F_Intestinal,J_Feed,0.086
F_Intestinal,J_Gastric,0.077
F_Intestinal,J_Intestinal,0.893
G_Feed,G_Gastric,0.348
G_Feed,G_Intestinal,0.089
G_Feed,H_Feed,0.935
G_Feed,H_Gastric,0.338
G_Feed,H_Intestinal,0.002
G_Feed,I_Feed,0.896
G_Feed,I_Gastric,0.342
G_Feed,I_Intestinal,0.065
G_Feed,J_Feed,0.892
G_Feed,J_Gastric,0.323
G_Feed,J_Intestinal,0.099
G_Gastric,G_Intestinal,0.001
G_Gastric,H_Feed,0.296
G_Gastric,H_Gastric,0.969
G_Gastric,H_Intestinal,-0.008
G_Gastric,I_Feed,0.325
G_Gastric,I_Gastric,0.929
G_Gastric,I_Intestinal,-0.017
G_Gastric,J_Feed,0.34
G_Gastric,J_Gastric,0.911
G_Gastric,J_Intestinal,0.012
G_Intestinal,H_Feed,0.221
G_Intestinal,H_Gastric,-0.008
G_Intestinal,H_Intestinal,0.967
G_Intestinal,I_Feed,0.132
G_Intestinal,I_Gastric,0.034
G_Intestinal,I_Intestinal,0.954
G_Intestinal,J_Feed,0.123
G_Intestinal,J_Gastric,0.064
G_Intestinal,J_Intestinal,0.932
H_Feed,H_Gastric,0.299
H_Feed,H_Intestinal,0.128
H_Feed,I_Feed,0.867
H_Feed,I_Gastric,0.299
H_Feed,I_Intestinal,0.184
H_Feed,J_Feed,0.872
H_Feed,J_Gastric,0.299
H_Feed,J_Intestinal,0.22
H_Gastric,H_Intestinal,0.015
H_Gastric,I_Feed,0.317
H_Gastric,I_Gastric,0.908
H_Gastric,I_Intestinal,-0.025
H_Gastric,J_Feed,0.337
H_Gastric,J_Gastric,0.882
H_Gastric,J_Intestinal,0.009
H_Intestinal,I_Feed,0.054
H_Intestinal,I_Gastric,0.04
H_Intestinal,I_Intestinal,0.947
H_Intestinal,J_Feed,0.032
H_Intestinal,J_Gastric,0.065
H_Intestinal,J_Intestinal,0.936
I_Feed,I_Gastric,0.356
I_Feed,I_Intestinal,0.077
I_Feed,J_Feed,0.858
I_Feed,J_Gastric,0.314
I_Feed,J_Intestinal,0.135
I_Gastric,I_Intestinal,0.032
I_Gastric,J_Feed,0.297
I_Gastric,J_Gastric,0.944
I_Gastric,J_Intestinal,0.046
I_Intestinal,J_Feed,0.092
I_Intestinal,J_Gastric,0.049
I_Intestinal,J_Intestinal,0.945
J_Feed,J_Gastric,0.315
J_Feed,J_Intestinal,0.138
J_Gastric,J_Intestinal,0.085
