 Positions in Proteins,unique ID,protein_name,Description,Master Protein Accessions,protein_species,Avg_HM_F,Avg_HM_G,Avg_HM_I,Avg_Bovine_F,Avg_Bovine_G,Avg_Bovine_I
P10790,77,Bovine - Fatty,Bovine - Fatty,P10790; P05413,Bovine;Human,18862.90527,917213.3503,36896426.24,28160.02539,705345.6745,5196299.01
"P10790,Q58DW1",78,Bovine - Fatty,Bovine - Fatty,P10790,Bovine,0,0,0,24410.79557,0,2214718.266
P10909,79,Human - Clusterin,Human - Clusterin,P10909,Human,29986.22689,11102165.96,13630686.18,0,0,0
P11021,80,Human - 78,Human - 78,P11021,Human,7719.108398,2895262.856,0,0,0,0
P11142,81,Human - shock,Human - shock,P11142,Human,0,1775145.195,0,0,0,0
P11151,82,Bovine - Lipoprotein,Bovine - Lipoprotein,P11151,Bovine,0,0,0,0,1394299.125,461965.3802
"P11151,P06858",83,Shared - Lipoprotein,Shared - Lipoprotein,P11151; P06858,Bovine;Human,0,77013.08984,4742607.25,22586.1167,52759.83887,5861469.729
P12830,84,Human - Cadherin-1,Human - Cadherin-1,P12830,Human,0,294520.1797,0,0,0,0
P13639,85,Human - Elongation,Human - Elongation,P13639,Human,0,1816310.953,698404.75,0,0,0
P14174,86,Human - Macrophage,Human - Macrophage,P14174,Human,0,521711.8828,0,0,0,0
P14550,87,Human - Alcohol,Human - Alcohol,P14550,Human,0,549324.9323,0,0,0,0
"P14625,Q95M18",88,Shared - Endoplasmin,Shared - Endoplasmin,Q95M18,Bovine;Human,0,1994077.025,1348221.328,14626.61963,2132602.968,969178.2747
P15291,89,"Human - Beta-1,4-galactosyltransferase","Human - Beta-1,4-galactosyltransferase",P15291,Human,0,316925.1094,0,0,0,0
P15311,90,Human - Ezrin,Human - Ezrin,P15311,Human,123560.2617,576991.3887,0,0,0,0
P15941,91,Human - Mucin-1,Human - Mucin-1,P15941,Human,1509043.645,922471.9639,159942.0703,0,0,0
P16671,92,Human - Platelet,Human - Platelet,P16671,Human,0,100441.625,1443633.656,0,0,0
P18065,93,Human - Insulin-like,Human - Insulin-like,P18065,Human,0,346379.125,0,0,0,0
P18892,94,Bovine - Butyrophilin,Bovine - Butyrophilin,P18892,Bovine,0,0,0,1424037.248,26132082.65,35300808.45
P19835,95,Human - Bile,Human - Bile,P19835,Human,1192603.666,82859363.03,221880381,0,0,0
"P19835,P30122",96,Shared - Bile,Shared - Bile,P19835; P30122,Bovine;Human,332961.8105,2932021.153,727325.9629,0,232276.612,2463249.639
P21399,97,Human - Cytoplasmic,Human - Cytoplasmic,P21399,Human,0,134773.625,0,0,0,0
"P22079,P80025",98,Shared - Lactoperoxidase,Shared - Lactoperoxidase,P80025,Bovine;Human,0,230298.7917,256853.0104,0,0,12146170
P22897,99,Human - Macrophage,Human - Macrophage,P22897,Human,0,0,4470121.25,0,0,0
P23280,100,Human - Carbonic,Human - Carbonic,P23280,Human,0,0,288428.4375,0,0,0
P23528,101,Human - Cofilin-1,Human - Cofilin-1,P23528,Human,15545.49316,787909.8278,0,0,0,0
P26201,102,Bovine - Platelet,Bovine - Platelet,P26201,Bovine,0,0,0,56743.36035,1153155.507,15465997.32
"P26201,P16671",103,Shared - Platelet,Shared - Platelet,P26201; P16671,Bovine;Human,0,0,0,271889.3698,573807.8125,152186.5
P27797,104,Human - Calreticulin,Human - Calreticulin,P27797,Human,17445.03711,195879.8008,15443486.12,0,0,0
P30041,105,Human - Peroxiredoxin-6,Human - Peroxiredoxin-6,P30041,Human,0,2486284.711,262983.875,0,0,0
P30086,106,Human - Phosphatidylethanolamine-binding,Human - Phosphatidylethanolamine-binding,P30086,Human,9481.140625,450143.6883,0,0,0,0
P30122,107,Bovine - Bile,Bovine - Bile,P30122,Bovine,0,0,0,0,0,92210.10612
P35579,108,Human - Myosin-9,Human - Myosin-9,P35579,Human,0,2295889.448,206544.6719,0,0,0
P36871,109,Human - Phosphoglucomutase-1,Human - Phosphoglucomutase-1,P36871,Human,0,0,329206.3047,0,0,0
P47989,110,Human - Xanthine,Human - Xanthine,P47989,Human,221605.1653,49545414.28,222457586.6,0,0,0
P49327,111,Human - Fatty,Human - Fatty,P49327,Human,223673.3517,49526664.95,39590014.16,0,0,0
P58073,112,Bovine - Parathyroid,Bovine - Parathyroid,P58073,Bovine,0,0,0,30413.71224,28107.78516,38316.62109
P60174,113,Human - Triosephosphate,Human - Triosephosphate,P60174,Human,0,1517422.008,0,0,0,0
P60712,114,"Bovine - Actin,","Bovine - Actin,",P60712,Bovine;Human,0,58732995.58,4998400.109,0,46985414.15,8742522.001
P60953,115,Human - Cell,Human - Cell,P60953,Human,26355.31836,262880.6367,0,0,0,0
P61769,116,Human - Beta-2-microglobulin,Human - Beta-2-microglobulin,P61769,Human,33149.65234,19802.88086,84264910.64,0,0,0
P62158,117,Human - Calmodulin,Human - Calmodulin,P62158,Human,0,1372626.512,2597438.5,0,0,0
P62258,118,Human - 14-3-3,Human - 14-3-3,P62258,Human,0,280833.1826,0,0,0,0
P62937,119,Human - Peptidyl-prolyl,Human - Peptidyl-prolyl,P62937,Human,29281.13623,10863922.35,97285.3125,0,0,0
"P62987,P62979,P0CG47,,,P0CG48",120,Human - Ubiquitin-60S - Human - Ubiquitin-40S - Human - Polyubiquitin-B -  - Human - Polyubiquitin-C,Human - Ubiquitin-60S - Human - Ubiquitin-40S - Human - Polyubiquitin-B -  - Human - Polyubiquitin-C,P62979,Human,0,310607.75,0,0,0,0
P63104,121,Human - 14-3-3,Human - 14-3-3,P63104,Human,0,733488.7507,3289368.125,0,0,0
P68104,122,Human - Elongation,Human - Elongation,P68104,Human,24675.52148,24020465.85,18741467.03,0,0,0
P68133,123,"Human - Actin,","Human - Actin,",P68133,Human,0,137581.6328,3459207.75,0,0,0
P79132,124,Bovine - Caveolin-1,Bovine - Caveolin-1,P79132,Bovine,0,0,0,0,77545.3151,0
P79345,125,Bovine - Epididymal,Bovine - Epididymal,P79345,Bovine,0,0,0,0,1172070.552,95497.24609
P80025,126,Bovine - Lactoperoxidase,Bovine - Lactoperoxidase,P80025,Bovine,0,0,0,119273.0963,1878607.608,3088593.248
P80195,127,Bovine - Glycosylation-dependent,Bovine - Glycosylation-dependent,P80195,Bovine,0,0,0,59248048.93,471513910,425104540.4
P80303,128,Human - Nucleobindin-2,Human - Nucleobindin-2,P80303,Human,0,0,554812.375,0,0,0
P80457,129,Bovine - Xanthine,Bovine - Xanthine,P80457,Bovine,0,0,0,0,1096730.461,23200771.36
"P80457,P47989",130,Shared - Xanthine,Shared - Xanthine,P80457; P47989,Bovine;Human,23152.34448,7570797.266,26694214.7,30621.05127,859967.6747,14379007.22
P81265,131,Bovine - Polymeric,Bovine - Polymeric,P81265,Bovine,0,0,0,5940403.697,44511241.18,58780064.29
"P81265,P01833",132,Shared - Polymeric,Shared - Polymeric,P81265; P01833,Bovine;Human,0,59220.61328,111563764.6,0,0,15300581.5
Q02818,133,Human - Nucleobindin-1,Human - Nucleobindin-1,Q02818,Human,180219.6253,1069361.461,3718594.453,0,0,0
Q08380,134,Human - Galectin-3-binding,Human - Galectin-3-binding,Q08380,Human,0,294742.875,0,0,0,0
Q08431,135,Human - Lactadherin,Human - Lactadherin,Q08431,Human,0,51228.68701,615866,0,0,0
Q13228,136,Human - Selenium-binding,Human - Selenium-binding,Q13228,Human,0,456078.4102,0,0,0,0
Q13410,137,Human - Butyrophilin,Human - Butyrophilin,Q13410,Human,16610126.72,36969265.16,74234891.75,0,0,0
"Q13410,P18892",138,Shared - Butyrophilin,Shared - Butyrophilin,Q13410; P18892,Bovine;Human,110248.4487,55527261.4,40782291.15,221456.9668,7295005.089,20298750.52
Q14512,139,Human - Fibroblast,Human - Fibroblast,Q14512,Human,180683.4995,0,0,0,0,0
Q14914,140,Human - Prostaglandin,Human - Prostaglandin,Q14914,Human,0,131368.6719,139004.0352,0,0,0
Q16851,141,Human - UTP--glucose-1-phosphate,Human - UTP--glucose-1-phosphate,Q16851,Human,0,1387974.523,0,0,0,0
"Q28078,Q8WML4",142,Bovine - Epithelial - Bovine - Mucin-1,Bovine - Epithelial - Bovine - Mucin-1,Q8WML4,Bovine,0,0,0,0,2630298.969,0
Q3SYX0,143,Bovine - Protein,Bovine - Protein,Q3SYX0,Bovine,0,0,0,0,1200366.109,167820.1823
Q3ZCH5,144,Bovine - Zinc-alpha-2-glycoprotein,Bovine - Zinc-alpha-2-glycoprotein,Q3ZCH5,Bovine,0,0,0,22776.09961,7951436.793,685442.0117
Q58DP6,145,"Bovine - Ribonuclease,","Bovine - Ribonuclease,",Q58DP6,Bovine,0,0,0,42679.57666,1131775.908,312961467.3
Q58DP7,146,Bovine - Heat,Bovine - Heat,Q58DP7,Bovine,0,0,0,54817.42188,3516499.406,358524.357
Q58DR9,147,Bovine - Malate,Bovine - Malate,Q58DR9,Bovine,0,0,0,14860.68672,4790244.739,2357684.568
Q58DT9,148,Bovine - Alpha,Bovine - Alpha,Q58DT9,Bovine,0,0,0,88334.46606,2128794.349,1297821.812
Q58DU3,149,Bovine - Sulfide,Bovine - Sulfide,Q58DU3,Bovine,0,0,0,11017.94922,0,18722170.64
Q5E962,150,Bovine - Aldo-keto,Bovine - Aldo-keto,Q5E962,Bovine,0,0,0,0,140407.8516,328250.1719
Q5E9E0,151,Bovine - Galectin,Bovine - Galectin,Q5E9E0,Bovine,0,0,0,0,2920271.958,0
Q6PCB0,152,Human - von,Human - von,Q6PCB0,Human,0,59460.74902,0,0,0,0
Q6WN34,153,Human - Chordin-like,Human - Chordin-like,Q6WN34,Human,0,880351.0195,5581297.344,0,0,0
Q76LV2,154,Bovine - Heat,Bovine - Heat,Q76LV2,Bovine,0,0,0,0,234414.5755,217232.3594
"Q76LV2,Q76LV1",155,Bovine - Heat,Bovine - Heat,Q76LV2,Bovine,0,0,0,0,2079480.082,0
Q8MI01,156,Bovine - Mucin-15,Bovine - Mucin-15,Q8MI01,Bovine,0,0,0,0,924494.0427,134147.1953
"Q8SQ28,Q56J78,B8Y7I4,Q9MZT5",157,Bovine - Serum,Bovine - Serum,Q9MZT5,Bovine,0,0,0,41395.21908,73209.76953,0
Q95114,158,Bovine - Lactadherin,Bovine - Lactadherin,Q95114,Bovine,0,0,0,13845.06543,536542.3965,5177581.87
Q95M18,159,Bovine - Endoplasmin,Bovine - Endoplasmin,Q95M18,Bovine,0,0,0,0,143965.3138,0
Q96KP4,160,Human - Cytosolic,Human - Cytosolic,Q96KP4,Human,0,754951.3984,0,0,0,0
Q99536,161,Human - Synaptic,Human - Synaptic,Q99536,Human,0,268035.418,0,0,0,0
Q99541,162,Human - Perilipin-2,Human - Perilipin-2,Q99541,Human,1630113.3,25670113.42,3761778.922,0,0,0
Q9MZ06,163,Bovine - Fibroblast,Bovine - Fibroblast,Q9MZ06,Bovine,0,0,0,357080.4896,700986.4891,707760.25
Q9TS73,164,Bovine - Trypsin,Bovine - Trypsin,Q9TS73,Bovine,0,0,0,0,57087.90625,0
Q9TS74,165,Bovine - Pancreatic,Bovine - Pancreatic,Q9TS74,Bovine,0,0,0,25160.96387,0,1455528.833
"Q9TUM6,Q99541",166,Shared - Perilipin-2,Shared - Perilipin-2,A1L5C2; Q99541,Bovine;Human,44763.6875,180906.9004,16643930,0,0,7979052.583
Q9UJ14,167,Human - Gamma-glutamyltransferase,Human - Gamma-glutamyltransferase,Q9UJ14,Human,0,2724088.188,0,0,0,0
Q9Y6B6,168,Human - GTP-binding,Human - GTP-binding,Q9Y6B6,Human,0,114167.2773,0,0,0,0
